"StockCode","sciname","Loo","TLinfinity","K","SE_K","SD_K","LCL_K","UCL_K","Temperature","DeltaT"
1283,"Zebrasoma velifer",20.8,NA,0.282,NA,NA,NA,NA,26,NA
42674,"Acestrorhynchus lacustris",38,NA,0.31,NA,NA,NA,NA,NA,NA
42674,"Acestrorhynchus lacustris",38,NA,0.4,NA,NA,NA,NA,NA,NA
42674,"Acestrorhynchus lacustris",38.01,NA,0.4,NA,NA,NA,NA,NA,NA
10750,"Achirus mazatlanus",20.9,20.9,1.092,NA,NA,NA,NA,20.5,NA
4456,"Trinectes maculatus",20.2,20.2,0.213,NA,NA,NA,NA,NA,NA
4456,"Trinectes maculatus",20.9,20.9,0.195,NA,NA,NA,NA,23,NA
4901,"Acipenser baerii",143,143,0.03,NA,NA,NA,NA,NA,NA
4901,"Acipenser baerii",149,149,0.06,NA,NA,NA,NA,NA,NA
4901,"Acipenser baerii",161.89999,161.89999,0.07,NA,NA,NA,NA,NA,NA
2786,"Acipenser brevirostrum",144,144,0.04,NA,NA,NA,NA,NA,NA
2787,"Acipenser fulvescens",156,156,0.033,NA,NA,NA,NA,NA,NA
2787,"Acipenser fulvescens",178,178,0.05,NA,NA,NA,NA,8,NA
2787,"Acipenser fulvescens",156,156,0.04,NA,NA,NA,NA,NA,NA
2787,"Acipenser fulvescens",148,148,0.05,NA,NA,NA,NA,NA,NA
2787,"Acipenser fulvescens",162,192,0.045,NA,NA,NA,NA,NA,NA
2787,"Acipenser fulvescens",192,192,0.03,NA,NA,NA,NA,NA,NA
2787,"Acipenser fulvescens",224,224,0.022,NA,NA,NA,NA,NA,NA
2787,"Acipenser fulvescens",191,NA,0.0294,NA,NA,NA,NA,NA,NA
4933,"Acipenser gueldenstaedtii",253,253,0.045,NA,NA,NA,NA,13.6,NA
4933,"Acipenser gueldenstaedtii",236,236,0.05,NA,NA,NA,NA,NA,NA
4933,"Acipenser gueldenstaedtii",254.3,254.3,0.03,NA,NA,NA,NA,NA,NA
2788,"Acipenser medirostris",190,190,0.087,NA,NA,NA,NA,14,NA
2788,"Acipenser medirostris",238,238,0.05,NA,NA,NA,NA,NA,NA
2699,"Acipenser nudiventris",205,205,0.053,NA,NA,NA,NA,NA,NA
2699,"Acipenser nudiventris",205,205,0.119,NA,NA,NA,NA,NA,NA
2699,"Acipenser nudiventris",250,250,0.04,NA,NA,NA,NA,12.5,NA
2699,"Acipenser nudiventris",222.7,222.7,0.07,NA,NA,NA,NA,NA,NA
2789,"Acipenser oxyrinchus",256,256,0.07,NA,NA,NA,NA,NA,NA
2789,"Acipenser oxyrinchus",184,184,0.14,NA,NA,NA,NA,NA,NA
2789,"Acipenser oxyrinchus",236,236,0.06,NA,NA,NA,NA,NA,NA
2789,"Acipenser oxyrinchus",242,242,0.12,NA,NA,NA,NA,NA,NA
2789,"Acipenser oxyrinchus",315,315,0.03,NA,NA,NA,NA,NA,NA
2789,"Acipenser oxyrinchus",199,NA,0.122,NA,NA,NA,NA,NA,NA
2789,"Acipenser oxyrinchus",180,NA,0.147,NA,NA,NA,NA,NA,NA
4791,"Acipenser ruthenus",57.8,57.8,0.13,NA,NA,NA,NA,NA,NA
4791,"Acipenser ruthenus",88.2,88.2,0.12,NA,NA,NA,NA,NA,NA
6399,"Acipenser schrenckii",205.39999,205.39999,0.06,NA,NA,NA,NA,NA,NA
2260,"Acipenser stellatus",201,201,0.06,NA,NA,NA,NA,14.3,NA
2260,"Acipenser stellatus",192,192,0.054,NA,NA,NA,NA,NA,NA
2260,"Acipenser stellatus",194,194,0.051,NA,NA,NA,NA,NA,NA
2260,"Acipenser stellatus",159.39999,159.39999,0.17,NA,NA,NA,NA,NA,NA
2261,"Acipenser sturio",500,500,0.03,NA,NA,NA,NA,NA,NA
2261,"Acipenser sturio",231,231,0.109,NA,NA,NA,NA,NA,NA
2790,"Acipenser transmontanus",300,300,0.06,NA,NA,NA,NA,22,NA
2790,"Acipenser transmontanus",350,350,0.04,NA,NA,NA,NA,10,NA
2790,"Acipenser transmontanus",276,303,0.0346,NA,NA,NA,NA,15,NA
4820,"Huso dauricus",275,275,0.073,NA,NA,NA,NA,16,NA
4820,"Huso dauricus",477.70001,477.70001,0.03,NA,NA,NA,NA,NA,NA
2262,"Huso huso",249,249,0.097,NA,NA,NA,NA,13.6,NA
2262,"Huso huso",481.60001,481.60001,0.021,NA,NA,NA,NA,NA,NA
2262,"Huso huso",655.20001,655.20001,0.012,NA,NA,NA,NA,NA,NA
2262,"Huso huso",468.60001,468.60001,0.019,NA,NA,NA,NA,NA,NA
2262,"Huso huso",235.39999,235.39999,0.11,NA,NA,NA,NA,NA,NA
2262,"Huso huso",501.5,501.5,0.02,NA,NA,NA,NA,NA,NA
2262,"Huso huso",434.89999,434.89999,0.02,NA,NA,NA,NA,NA,NA
4821,"Pseudoscaphirhynchus kaufmanni",65.4,65.4,0.164,NA,NA,NA,NA,16,NA
2791,"Scaphirhynchus albus",116,116,0.13,NA,NA,NA,NA,NA,NA
2792,"Scaphirhynchus platorynchus",85.8,NA,0.13,NA,NA,NA,NA,21,NA
2792,"Scaphirhynchus platorynchus",78.3,NA,0.1,NA,NA,NA,NA,21,NA
2792,"Scaphirhynchus platorynchus",68.1,NA,0.05,NA,NA,NA,NA,14,NA
4786,"Doederleinia berycoides",30.8,30.8,0.351,NA,NA,NA,NA,10,NA
46,"Agonus cataphractus",15,15,0.475,NA,NA,NA,NA,12,NA
4353,"Aspidophoroides monopterygius",15.29,NA,0.236,NA,NA,NA,NA,NA,NA
4353,"Aspidophoroides monopterygius",15.8,NA,0.231,NA,NA,NA,NA,NA,NA
4357,"Bathyagonus nigripinnis",27.3,27.3,0.26,NA,NA,NA,NA,NA,NA
4369,"Xeneretmus latifrons",19,19,0.46,NA,NA,NA,NA,4,NA
242,"Albula vulpes",102,124.23874,0.301,NA,NA,NA,NA,21,NA
242,"Albula vulpes",66.3,80.75518,0.22,NA,NA,NA,NA,24,NA
242,"Albula vulpes",68.1,79.3134,0.279,NA,NA,NA,NA,25.9,NA
242,"Albula vulpes",67.1,78.1594,0.242,NA,NA,NA,NA,25.9,10
242,"Albula vulpes",27.8,NA,0.486,NA,NA,NA,NA,23,14.3
244,"Alepocephalus bairdii",85.3,92.85009,0.077,NA,NA,NA,NA,11,NA
5309,"Alepocephalus rostratus",21.7,21.7,0.862,NA,NA,NA,NA,14,NA
5309,"Alepocephalus rostratus",47.4,47.4,0.08,NA,NA,NA,NA,NA,NA
5309,"Alepocephalus rostratus",40.8,40.8,0.1,NA,NA,NA,NA,NA,NA
11916,"Alepocephalus tenebrosus",64,64,0.3,NA,NA,NA,NA,4,NA
5438,"Bajacalifornia burragei",23.2,NA,0.26,NA,NA,NA,NA,NA,NA
2599,"Alestes baremoze",23.4,30.872,0.843,NA,NA,NA,NA,NA,NA
2599,"Alestes baremoze",25.7,33.931,0.418,NA,NA,NA,NA,NA,NA
2599,"Alestes baremoze",29.2,38.586,0.518,NA,NA,NA,NA,25,NA
2599,"Alestes baremoze",62.8,83.274,0.232,NA,NA,NA,NA,NA,NA
2599,"Alestes baremoze",21.2,27.946,0.807,NA,NA,NA,NA,NA,NA
2599,"Alestes baremoze",23.9,31.537,0.391,NA,NA,NA,NA,NA,NA
2599,"Alestes baremoze",25.2,33.266,0.696,NA,NA,NA,NA,25,NA
2599,"Alestes baremoze",42.9,56.807,0.418,NA,NA,NA,NA,NA,NA
2599,"Alestes baremoze",26,34.33,0.699,NA,NA,NA,NA,25,NA
2599,"Alestes baremoze",26.6,35.128,0.717,NA,NA,NA,NA,25,NA
2599,"Alestes baremoze",22.6,29.808,0.801,NA,NA,NA,NA,25,NA
2599,"Alestes baremoze",23.8,31.404,0.816,NA,NA,NA,NA,25,NA
2599,"Alestes baremoze",29.7,39.251,0.77,NA,NA,NA,NA,28,NA
5469,"Alestes dentex",33.4,NA,0.43,NA,NA,NA,NA,27,NA
5469,"Alestes dentex",28.9,NA,0.56,NA,NA,NA,NA,27,NA
5469,"Alestes dentex",30.5,30.5,0.75,NA,NA,NA,NA,28,NA
5470,"Alestes macrophthalmus",38.6,38.6,1.091,NA,NA,NA,NA,NA,NA
5478,"Brycinus imberi",14.8,14.8,1.404,NA,NA,NA,NA,20,NA
5478,"Brycinus imberi",20.5,NA,0.42,NA,NA,NA,NA,28,NA
12200,"Brycinus lateralis",17,17,2.8,NA,NA,NA,NA,NA,NA
5471,"Brycinus leuciscus",10.1,12.818,1.2,NA,NA,NA,NA,27,NA
5480,"Brycinus macrolepidotus",32,NA,0.46,NA,NA,NA,NA,28,NA
5475,"Brycinus nurse",14.7,18.33,0.65,NA,NA,NA,NA,28,NA
5475,"Brycinus nurse",20,24.743,0.75,NA,NA,NA,NA,28,NA
5475,"Brycinus nurse",13.6,13.6,0.96,NA,NA,NA,NA,NA,NA
5475,"Brycinus nurse",18,18,0.92,NA,NA,NA,NA,NA,NA
5475,"Brycinus nurse",21,21,0.9,NA,NA,NA,NA,NA,NA
5475,"Brycinus nurse",26.3,26.3,0.41,NA,NA,NA,NA,NA,NA
5475,"Brycinus nurse",23,NA,0.43,NA,NA,NA,NA,28,NA
4836,"Brycinus sadleri",13.7,15.56818,0.46,NA,NA,NA,NA,26,NA
4694,"Hydrocynus forskahlii",55.4,55.4,0.452,NA,NA,NA,NA,NA,NA
4694,"Hydrocynus forskahlii",61,78.63,0.18,NA,NA,NA,NA,NA,NA
4694,"Hydrocynus forskahlii",62,79.92,0.284,NA,NA,NA,NA,NA,NA
4694,"Hydrocynus forskahlii",90.6,90.6,0.169,NA,NA,NA,NA,NA,NA
4694,"Hydrocynus forskahlii",56.7,73.083,0.323,NA,NA,NA,NA,20,NA
4694,"Hydrocynus forskahlii",39.7,39.7,0.55,NA,NA,NA,NA,27,NA
4677,"Hydrocynus vittatus",74,88.09524,0.299,NA,NA,NA,NA,23,NA
4677,"Hydrocynus vittatus",79.6,94.7619,0.266,NA,NA,NA,NA,23,NA
4677,"Hydrocynus vittatus",55.2,65.71429,0.201,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",58.7,73.375,0.275,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",78,97.5,0.185,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",48.4,48.4,0.109,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",62,62,0.22,NA,NA,NA,NA,27,NA
4677,"Hydrocynus vittatus",58,58,0.53,NA,NA,NA,NA,23.5,NA
4677,"Hydrocynus vittatus",63.9,79,0.318,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",57.8,NA,0.33,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",58.4,NA,0.37,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",62,NA,0.338,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",64.7,NA,0.369,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",74,NA,0.3,NA,NA,NA,NA,NA,NA
4677,"Hydrocynus vittatus",68,68,0.55,NA,NA,NA,NA,NA,NA
2596,"Micralestes acutidens",7.2,8.42,0.627,NA,NA,NA,NA,20,NA
2596,"Micralestes acutidens",4.8,5.62,1.4,NA,NA,NA,NA,28,NA
6200,"Alopias pelagicus",197,383,0.085,NA,NA,NA,NA,22,NA
6200,"Alopias pelagicus",182,346,0.118,NA,NA,NA,NA,22,NA
2730,"Alopias superciliosus",422,422,0.092,NA,NA,NA,NA,22,NA
2730,"Alopias superciliosus",385,385,0.088,NA,NA,NA,NA,22,NA
2731,"Alopias vulpinus",651,651,0.1,NA,NA,NA,NA,14,NA
2731,"Alopias vulpinus",464.29999,464.29999,0.124,NA,NA,NA,NA,NA,NA
2731,"Alopias vulpinus",416.20001,416.20001,0.189,NA,NA,NA,NA,NA,NA
2731,"Alopias vulpinus",264,NA,0.11,NA,NA,NA,NA,NA,NA
2731,"Alopias vulpinus",227,NA,0.16,NA,NA,NA,NA,NA,NA
10872,"Ambassis agassizii",5.5,NA,0.856,NA,NA,NA,NA,20,NA
5035,"Ambassis gymnocephalus",19.5,19.5,1.2,NA,NA,NA,NA,28.2,NA
6291,"Ambassis kopsii",10.2,10.2,0.73,NA,NA,NA,NA,27,NA
10453,"Parambassis ranga",7,NA,0.7,NA,NA,NA,NA,26,NA
10453,"Parambassis ranga",4.37,NA,0.72,NA,NA,NA,NA,NA,NA
10453,"Parambassis ranga",4.88,NA,0.43,NA,NA,NA,NA,NA,NA
3254,"Amblyopsis rosae",6,NA,0.344,NA,NA,NA,NA,13,NA
3255,"Amblyopsis spelaea",10,NA,0.2,NA,NA,NA,NA,13,NA
3257,"Chologaster cornuta",6,NA,1.028,NA,NA,NA,NA,13,NA
3256,"Forbesichthys agassizii",6.8,NA,0.673,NA,NA,NA,NA,13,NA
3259,"Typhlichthys subterraneus",6.5,7.46,0.428,NA,NA,NA,NA,13,NA
2796,"Amia calva",73.5,73.5,0.328,NA,NA,NA,NA,NA,NA
2796,"Amia calva",92.6,92.6,0.143,NA,NA,NA,NA,NA,NA
2796,"Amia calva",80.7,NA,0.227,NA,NA,NA,NA,NA,NA
2796,"Amia calva",69.7,NA,0.328,NA,NA,NA,NA,NA,NA
4017,"Ammodytes dubius",20.3,20.3,0.38,NA,NA,NA,NA,10,NA
4017,"Ammodytes dubius",26.2,26.2,0.34,NA,NA,NA,NA,2,NA
4017,"Ammodytes dubius",30.3,30.3,0.33,NA,NA,NA,NA,12,NA
47,"Ammodytes marinus",12.2,12.2,0.98,NA,NA,NA,NA,9,NA
47,"Ammodytes marinus",15,15,0.334,NA,NA,NA,NA,9,NA
47,"Ammodytes marinus",20,20,0.393,NA,NA,NA,NA,9,NA
47,"Ammodytes marinus",24.9,24.9,0.163,NA,NA,NA,NA,2,NA
47,"Ammodytes marinus",21.8,21.8,0.89,NA,NA,NA,NA,11,NA
47,"Ammodytes marinus",18.4,18.4,0.87,NA,NA,NA,NA,9,NA
47,"Ammodytes marinus",18.5,18.5,0.36,NA,NA,NA,NA,NA,NA
503,"Ammodytes personatus",24.2,NA,0.609,NA,NA,NA,NA,15,NA
48,"Ammodytes tobianus",16.1,16.1,0.72,NA,NA,NA,NA,12,NA
48,"Ammodytes tobianus",19.7,19.7,0.704,NA,NA,NA,NA,12,NA
48,"Ammodytes tobianus",21.9,21.9,0.449,NA,NA,NA,NA,8,NA
48,"Ammodytes tobianus",22.2,22.2,0.633,NA,NA,NA,NA,12,NA
48,"Ammodytes tobianus",23.4,23.4,0.552,NA,NA,NA,NA,12,NA
48,"Ammodytes tobianus",18.3,18.3,0.99,NA,NA,NA,NA,9,NA
48,"Ammodytes tobianus",20.5,20.5,0.6,NA,NA,NA,NA,9,NA
48,"Ammodytes tobianus",16.6,16.6,0.77,NA,NA,NA,NA,11,NA
1392,"Hyperoplus lanceolatus",29.8,29.8,0.4,NA,NA,NA,NA,9,NA
9730,"Amphilius jacksonii",12,14.9,0.19,NA,NA,NA,NA,19.3,NA
9730,"Amphilius jacksonii",12,14.9,0.39,NA,NA,NA,NA,18.8,5
511,"Anabas testudineus",17.1,NA,1.4,NA,NA,NA,NA,26,NA
10376,"Sandelia bainsii",21.4,27.6,0.223,NA,NA,NA,NA,NA,NA
10376,"Sandelia bainsii",28.7,37,0.186,NA,NA,NA,NA,NA,NA
12284,"Jenynsia lineata",7.77,8.8,1.041,NA,NA,NA,NA,NA,NA
12284,"Jenynsia lineata",3.36,3.8,2.461,NA,NA,NA,NA,NA,NA
45344,"Jenynsia multidentata",8.6,9.9,0.34,NA,NA,NA,NA,NA,NA
45344,"Jenynsia multidentata",4.9,5.7,0.55,NA,NA,NA,NA,NA,NA
4006,"Anarhichas denticulatus",162,162,0.081,NA,NA,NA,NA,2,NA
4006,"Anarhichas denticulatus",150,150,0.098,NA,NA,NA,NA,1.5,NA
2695,"Anarhichas lupus",104,104,0.121,NA,NA,NA,NA,4,NA
2695,"Anarhichas lupus",158,158,0.043,NA,NA,NA,NA,3,NA
2695,"Anarhichas lupus",167,167,0.044,NA,NA,NA,NA,3,NA
2695,"Anarhichas lupus",115,115,0.11,NA,NA,NA,NA,12,NA
2695,"Anarhichas lupus",111,111,0.12,NA,NA,NA,NA,12,NA
4007,"Anarhichas minor",140,140,0.124,NA,NA,NA,NA,6.5,NA
4007,"Anarhichas minor",153,153,0.094,NA,NA,NA,NA,6.5,NA
4007,"Anarhichas minor",181,181,0.061,NA,NA,NA,NA,1,NA
4007,"Anarhichas minor",138,138,0.13,NA,NA,NA,NA,6.5,NA
45,"Anguilla anguilla",70.8,70.8,0.064,NA,NA,NA,NA,11,NA
45,"Anguilla anguilla",135,135,0.058,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",105,105,0.046,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",83.2,83.2,0.0756,NA,NA,NA,NA,12,NA
45,"Anguilla anguilla",112,112,0.11,NA,NA,NA,NA,13,NA
45,"Anguilla anguilla",72.8,NA,0.336,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",82.3,82.3,0.251,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",87,87,0.196,NA,NA,NA,NA,15,30
45,"Anguilla anguilla",87.2,87.2,0.187,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",99.5,99.5,0.133,NA,NA,NA,NA,15,30
45,"Anguilla anguilla",112,112,0.147,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",37.5,NA,0.978,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",42.1,42.1,0.391,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",44.9,NA,0.623,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",45.3,45.3,0.619,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",47,47,0.467,NA,NA,NA,NA,15,30
45,"Anguilla anguilla",49.3,49.3,0.3366,NA,NA,NA,NA,15,30
45,"Anguilla anguilla",50.1,NA,0.337,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",51.3,51.3,0.378,NA,NA,NA,NA,19,NA
45,"Anguilla anguilla",143,143,0.013,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",150,150,0.013,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",65.9,65.9,0.036,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",70,70,0.031,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",76.2,76.2,0.23,NA,NA,NA,NA,15,30
45,"Anguilla anguilla",41.8,41.8,0.35,NA,NA,NA,NA,15,30
45,"Anguilla anguilla",58,58,0.631,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",38.8,38.8,1.095,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",73,73,0.078,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",80,80,0.0673,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",83,83,0.0603,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",83,83,0.0745,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",84,84,0.0872,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",90,90,0.0659,NA,NA,NA,NA,NA,NA
45,"Anguilla anguilla",70.4,NA,0.157,NA,NA,0.145,0.18,9.4,NA
45,"Anguilla anguilla",72.4,NA,0.152,NA,NA,0.142,0.162,9.3,NA
45,"Anguilla anguilla",74.2,NA,0.147,NA,NA,0.134,0.16,10.8,NA
45,"Anguilla anguilla",77.8,NA,0.143,NA,NA,0.135,0.154,10,NA
45,"Anguilla anguilla",82,NA,0.126,NA,NA,0.121,0.132,9,NA
45,"Anguilla anguilla",82.9,NA,0.143,NA,NA,0.124,0.161,10.2,NA
45,"Anguilla anguilla",85.2,NA,0.131,NA,NA,0.115,0.146,11.4,NA
309,"Anguilla japonica",98.2,98.2,0.07,NA,NA,NA,NA,NA,NA
1293,"Anguilla mossambica",139,139,0.041,NA,NA,NA,NA,NA,NA
2504,"Anoplogaster cornuta",15,15,0.86,NA,NA,NA,NA,4,NA
528,"Anoplopoma fimbria",96,96,0.19,NA,NA,NA,NA,14,NA
528,"Anoplopoma fimbria",78,78,0.23,NA,NA,NA,NA,14,NA
528,"Anoplopoma fimbria",94,94,0.19,NA,NA,NA,NA,5.4,NA
528,"Anoplopoma fimbria",74,74,0.27,NA,NA,NA,NA,5.4,NA
528,"Anoplopoma fimbria",61,NA,0.499,0.047,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",61.4,NA,0.481,0.083,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",84.7,NA,0.117,0.024,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",86.7,NA,0.106,0.008,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",54.7,NA,0.472,0.055,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",56.6,NA,0.556,0.108,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",70.2,NA,0.12,0.14,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",70.7,NA,0.126,0.044,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",69.5,69.5,0.19,NA,NA,NA,NA,8.5,NA
528,"Anoplopoma fimbria",80.8,80.8,0.16,NA,NA,NA,NA,8.5,NA
528,"Anoplopoma fimbria",81.6,81.6,0.16,NA,NA,NA,NA,8.5,NA
528,"Anoplopoma fimbria",81.7,81.7,0.14,NA,NA,NA,NA,8.5,NA
528,"Anoplopoma fimbria",56,56,0.43,NA,NA,NA,NA,8.5,NA
528,"Anoplopoma fimbria",64.6,64.6,0.26,NA,NA,NA,NA,8.5,NA
528,"Anoplopoma fimbria",65.5,65.5,0.47,NA,NA,NA,NA,8.5,NA
528,"Anoplopoma fimbria",65.7,65.7,0.29,NA,NA,NA,NA,8.5,NA
528,"Anoplopoma fimbria",109.7,109.7,0.11,NA,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",79.3,79.3,0.2,NA,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",83.5,83.5,0.16,NA,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",84.9,NA,0.16,NA,NA,NA,NA,NA,NA
528,"Anoplopoma fimbria",102.8,102.8,0.13,NA,NA,NA,NA,NA,NA
