"","sname","DataSource.x","DataSource.y"
"256","Bregmaceros mcclellandi",NA,"FBmpack"
"257","Brevoortia aurea",NA,"FBmpack"
"258","Brevoortia patronus","Speciesmpack","FBmpack"
"259","Brevoortia pectinata",NA,"FBmpack"
"260","Brevoortia tyrannus","Speciesmpack","FBmpack"
"261","Brosme brosme","Speciesmpack","FBmpack"
"262","Brotula barbata","Speciesmpack","FBmpack"
"263","Brycinus imberi","Speciesmpack",NA
"264","Brycinus macrolepidotus","Speciesmpack",NA
"265","Brycinus nurse","Speciesmpack",NA
"266","Brycinus sadleri","Speciesmpack",NA
"267","Brycon guatemalensis","Speciesmpack",NA
"268","Buccinum undatum",NA,"FBmpack"
"269","Buglossidium luteum","Speciesmpack",NA
"270","Bunocephalus coracoideus","Speciesmpack",NA
"271","Busycon spp",NA,"FBmpack"
"272","Caesionidae",NA,"FBmpack"
"273","Calamus leucosteus","Speciesmpack",NA
"274","Calamus nodosus","Speciesmpack",NA
"275","Calamus spp",NA,"FBmpack"
"276","Callianassa spp",NA,"FBmpack"
"277","Callinectes danae",NA,"FBmpack"
"278","Callinectes sapidus",NA,"FBmpack"
"279","Callionymus belcheri","Speciesmpack",NA
"280","Callionymus lyra","Speciesmpack",NA
"281","Callophyllis variegata",NA,"FBmpack"
"282","Callorhinchus callorynchus",NA,"FBmpack"
"283","Callorhinchus capensis","Speciesmpack","FBmpack"
"284","Callorhinchus milii","Speciesmpack","FBmpack"
"285","Callorhinus ursinus",NA,"FBmpack"
"286","Calotomus spinidens","Speciesmpack",NA
"287","Campostoma anomalum","Speciesmpack",NA
"288","Cancer borealis",NA,"FBmpack"
"289","Cancer edwardsi",NA,"FBmpack"
"290","Cancer irroratus",NA,"FBmpack"
"291","Cancer magister",NA,"FBmpack"
"292","Cancer pagurus",NA,"FBmpack"
"293","Cancer productus",NA,"FBmpack"
"294","Cantherhines(=Navodon) spp",NA,"FBmpack"
"295","Capoeta capoeta capoeta","Speciesmpack",NA
"296","Caproidae",NA,"FBmpack"
"297","Carangidae",NA,"FBmpack"
"298","Carangoides armatus","Speciesmpack",NA
"299","Carangoides bajad","Speciesmpack",NA
"300","Carangoides equula","Speciesmpack",NA
"301","Carangoides ferdau","Speciesmpack",NA
"302","Carangoides malabaricus","Speciesmpack",NA
"303","Caranx bucculentus","Speciesmpack",NA
"304","Caranx crysos","Speciesmpack","FBmpack"
"305","Caranx hippos","Speciesmpack","FBmpack"
"306","Caranx ignobilis","Speciesmpack","FBmpack"
"307","Caranx lugubris","Speciesmpack",NA
"308","Caranx melampygus","Speciesmpack",NA
"309","Caranx rhonchus","Speciesmpack","FBmpack"
"310","Caranx ruber","Speciesmpack",NA
"311","Caranx sexfasciatus","Speciesmpack",NA
"312","Caranx spp",NA,"FBmpack"
"313","Carassius auratus","Speciesmpack",NA
"314","Carassius carassius","Speciesmpack","FBmpack"
"315","Carassius gibelio","Speciesmpack",NA
"316","Carcharhinidae",NA,"FBmpack"
"317","Carcharhinus acronotus","Speciesmpack",NA
"318","Carcharhinus amblyrhynchos","Speciesmpack",NA
"319","Carcharhinus brachyurus","Speciesmpack","FBmpack"
"320","Carcharhinus brevipinna","Speciesmpack",NA
"321","Carcharhinus falciformis","Speciesmpack","FBmpack"
"322","Carcharhinus galapagensis","Speciesmpack",NA
"323","Carcharhinus isodon","Speciesmpack",NA
"324","Carcharhinus leucas","Speciesmpack",NA
"325","Carcharhinus limbatus","Speciesmpack","FBmpack"
"326","Carcharhinus longimanus","Speciesmpack",NA
"327","Carcharhinus obscurus","Speciesmpack",NA
"328","Carcharhinus plumbeus","Speciesmpack",NA
"329","Carcharhinus porosus","Speciesmpack",NA
"330","Carcharhinus signatus","Speciesmpack",NA
"331","Carcharhinus sorrah","Speciesmpack","FBmpack"
"332","Carcharhinus tilstoni","Speciesmpack",NA
"333","Carcharias taurus","Speciesmpack","FBmpack"
"334","Carcharodon carcharias","Speciesmpack",NA
"335","Carcinus aestuarii",NA,"FBmpack"
"336","Carcinus maenas",NA,"FBmpack"
"337","Cardiidae",NA,"FBmpack"
"338","Careproctus melanurus","Speciesmpack",NA
"339","Caretta caretta",NA,"FBmpack"
"340","Carlarius heudelotii","Speciesmpack",NA
"341","Caspiomyzon wagneri","Speciesmpack",NA
"342","Catla catla","Speciesmpack",NA
"343","Catostomus commersonii","Speciesmpack",NA
"344","Catostomus platyrhynchus","Speciesmpack",NA
"345","Caulolatilus affinis","Speciesmpack",NA
"346","Caulolatilus microps","Speciesmpack",NA
"347","Caulolatilus princeps",NA,"FBmpack"
"348","Centriscops humerosus",NA,"FBmpack"
"349","Centroberyx affinis","Speciesmpack","FBmpack"
"350","Centrolabrus exoletus","Speciesmpack",NA
"351","Centrolophidae",NA,"FBmpack"
"352","Centrophorus granulosus",NA,"FBmpack"
"353","Centrophorus squamosus",NA,"FBmpack"
"354","Centropomus spp",NA,"FBmpack"
"355","Centropomus undecimalis","Speciesmpack","FBmpack"
"356","Centropristis striata","Speciesmpack","FBmpack"
"357","Centroscymnus coelolepis",NA,"FBmpack"
"358","Cephalopholis boenak","Speciesmpack","FBmpack"
"359","Cephalopholis cruentata","Speciesmpack",NA
"360","Cephalopholis fulva","Speciesmpack",NA
"361","Cephalopholis hemistiktos","Speciesmpack",NA
"362","Cephalopholis panamensis","Speciesmpack",NA
"363","Cephalopholis taeniops","Speciesmpack",NA
"364","Cephalopoda",NA,"FBmpack"
"365","Cephalorhynchus hectori",NA,"FBmpack"
"366","Cepola macrophthalma","Speciesmpack",NA
"367","Cerastoderma edule",NA,"FBmpack"
"368","Cervimunida johni",NA,"FBmpack"
"369","Cetengraulis edentulus","Speciesmpack","FBmpack"
"370","Cetengraulis mysticetus","Speciesmpack","FBmpack"
"371","Cetorhinus maximus","Speciesmpack","FBmpack"
"372","Cetoscarus bicolor","Speciesmpack",NA
"373","Cetostoma regani","Speciesmpack",NA
"374","Chaceon affinis",NA,"FBmpack"
"375","Chaceon maritae",NA,"FBmpack"
"376","Chaceon quinquedens",NA,"FBmpack"
"377","Chaceon spp",NA,"FBmpack"
"378","Chaenocephalus aceratus","Speciesmpack","FBmpack"
"379","Chaenogobius annularis","Speciesmpack",NA
"380","Chaetodipterus faber","Speciesmpack",NA
"381","Chaetodon auriga","Speciesmpack",NA
"382","Chaetodon miliaris","Speciesmpack",NA
"383","Chaetodon trifascialis","Speciesmpack",NA
"384","Chaetodon trifasciatus","Speciesmpack",NA
"385","Chamelea gallina",NA,"FBmpack"
"386","Champsocephalus gunnari","Speciesmpack","FBmpack"
"387","Channa argus","Speciesmpack",NA
"388","Channa marulius","Speciesmpack",NA
"389","Channa punctata","Speciesmpack",NA
"390","Channa striata","Speciesmpack",NA
"391","Chanodichthys erythropterus","Speciesmpack",NA
"392","Chanodichthys mongolicus","Speciesmpack",NA
"393","Chanos chanos","Speciesmpack","FBmpack"
"394","Chauliodus macouni","Speciesmpack",NA
"395","Cheilinus trilobatus","Speciesmpack",NA
"396","Cheilinus undulatus","Speciesmpack",NA
"397","Cheilodactylus bergi",NA,"FBmpack"
"398","Cheilodactylus variegatus",NA,"FBmpack"
"399","Cheilopogon atrisignis","Speciesmpack",NA
"400","Cheilopogon cyanopterus","Speciesmpack",NA
"401","Cheilopogon nigricans","Speciesmpack",NA
"402","Cheilotrema saturnum","Speciesmpack",NA
"403","Cheimerius nufar","Speciesmpack","FBmpack"
"404","Chelidonichthys capensis","Speciesmpack",NA
"405","Chelidonichthys cuculus","Speciesmpack",NA
"406","Chelidonichthys kumu","Speciesmpack","FBmpack"
"407","Chelidonichthys lucerna","Speciesmpack","FBmpack"
"408","Chelidonichthys queketti","Speciesmpack",NA
"409","Chelon labrosus","Speciesmpack",NA
"410","Chelon macrolepis","Speciesmpack",NA
"411","Chelon parsia","Speciesmpack",NA
"412","Chelon planiceps","Speciesmpack",NA
"413","Chelon subviridis","Speciesmpack",NA
"414","Chelonia mydas",NA,"FBmpack"
"415","Chilara taylori","Speciesmpack",NA
"416","Chimaeriformes",NA,"FBmpack"
"417","Chione stutchburyi",NA,"FBmpack"
"418","Chionoecetes opilio",NA,"FBmpack"
"419","Chionoecetes spp",NA,"FBmpack"
"420","Chirocentrus dorab",NA,"FBmpack"
"421","Chirocentrus nudus","Speciesmpack","FBmpack"
"422","Chirocentrus spp",NA,"FBmpack"
"423","Chirostoma attenuatum","Speciesmpack",NA
"424","Chirostoma estor","Speciesmpack",NA
"425","Chirostoma grandocule","Speciesmpack",NA
"426","Chirostoma patzcuaro","Speciesmpack",NA
"427","Chlamys islandica",NA,"FBmpack"
"428","Chlorophthalmus agassizi","Speciesmpack",NA
"429","Chlorophyceae",NA,"FBmpack"
"430","Chloroscombrus chrysurus","Speciesmpack","FBmpack"
"431","Chloroscombrus orqueta",NA,"FBmpack"
"432","Chlorurus microrhinos","Speciesmpack",NA
"433","Chlorurus sordidus","Speciesmpack",NA
"434","Chologaster cornuta","Speciesmpack",NA
"435","Chondrus crispus",NA,"FBmpack"
"436","Choromytilus chorus",NA,"FBmpack"
"437","Chriodorus atherinoides","Speciesmpack",NA
"438","Chromis chrysura","Speciesmpack",NA
"439","Chromis ternatensis","Speciesmpack",NA
"440","Chromis viridis","Speciesmpack",NA
"441","Chrysichthys nigrodigitatus","Speciesmpack",NA
"442","Chrysiptera biocellata","Speciesmpack",NA
"443","Chrysiptera glauca","Speciesmpack",NA
"444","Chrysoblephus cristiceps","Speciesmpack",NA
"445","Chrysoblephus laticeps","Speciesmpack",NA
"446","Cichla temensis","Speciesmpack",NA
"447","Cichlasoma urophthalmum","Speciesmpack",NA
"448","Cilus gilberti",NA,"FBmpack"
"449","Cirrhinus molitorella","Speciesmpack",NA
"450","Citharichthys sordidus","Speciesmpack",NA
"451","Citharichthys spilopterus","Speciesmpack",NA
"452","Citharinus citharus","Speciesmpack",NA
"453","Citharus linguatula","Speciesmpack",NA
"454","Clarias batrachus","Speciesmpack",NA
"455","Clarias gariepinus","Speciesmpack",NA
"456","Clidoderma asperrimum","Speciesmpack",NA
"457","Clinocardium nuttallii",NA,"FBmpack"
"458","Clinocottus analis","Speciesmpack",NA
"459","Clupanodon thrissa",NA,"FBmpack"
"460","Clupea bentincki","Speciesmpack",NA
"461","Clupea harengus","Speciesmpack","FBmpack"
"462","Clupea pallasii",NA,"FBmpack"
"463","Clupea pallasii pallasii","Speciesmpack",NA
"464","Clupeoidei",NA,"FBmpack"
"465","Clupeoidei",NA,"FBmpack"
"466","Clupeonella cultriventris","Speciesmpack","FBmpack"
"467","Cobitis taenia","Speciesmpack",NA
"468","Coelorinchus caelorhincus","Speciesmpack",NA
"469","Coilia dussumieri","Speciesmpack",NA
"470","Coilia reynaldi","Speciesmpack",NA
"471","Cololabis saira","Speciesmpack","FBmpack"
"472","Colossoma macropomum","Speciesmpack",NA
"473","Comephorus baikalensis","Speciesmpack",NA
"474","Comephorus dybowskii","Speciesmpack",NA
"475","Concholepas concholepas",NA,"FBmpack"
"476","Conger conger","Speciesmpack","FBmpack"
"477","Conger myriaster",NA,"FBmpack"
"478","Conger oceanicus",NA,"FBmpack"
"479","Conger orbignyanus",NA,"FBmpack"
"480","Congridae",NA,"FBmpack"
"481","Conodon nobilis",NA,"FBmpack"
"482","Contusus richei","Speciesmpack",NA
"483","Copadichromis virginalis","Speciesmpack",NA
"484","Corallium elatius",NA,"FBmpack"
"485","Corallium japonicum",NA,"FBmpack"
"486","Corallium rubrum",NA,"FBmpack"
"487","Corallium secundum",NA,"FBmpack"
"488","Coregonus albula","Speciesmpack","FBmpack"
"489","Coregonus artedi","Speciesmpack",NA
"490","Coregonus clupeaformis","Speciesmpack",NA
"491","Coregonus lavaretus","Speciesmpack","FBmpack"
"492","Coregonus oxyrinchus","Speciesmpack",NA
"493","Coregonus sardinella","Speciesmpack",NA
"494","Coregonus spp",NA,"FBmpack"
"495","Coregonus widegreni","Speciesmpack",NA
"496","Coris julis","Speciesmpack",NA
"497","Coryphaena equiselis","Speciesmpack",NA
"498","Coryphaena hippurus","Speciesmpack","FBmpack"
"499","Coryphaenoides acrolepis","Speciesmpack",NA
"500","Coryphaenoides cinereus","Speciesmpack",NA
"501","Coryphaenoides guentheri","Speciesmpack",NA
"502","Coryphaenoides mediterraneus","Speciesmpack",NA
"503","Coryphaenoides rupestris","Speciesmpack","FBmpack"
"504","Cottidae",NA,"FBmpack"
"505","Cottocomephorus grewingkii","Speciesmpack",NA
"506","Cottus asperrimus","Speciesmpack",NA
"507","Cottus cognatus","Speciesmpack",NA
"508","Cottus gobio","Speciesmpack",NA
"509","Couesius plumbeus","Speciesmpack",NA
"510","Crangon crangon",NA,"FBmpack"
"511","Crangonidae",NA,"FBmpack"
"512","Crassostrea gigas",NA,"FBmpack"
"513","Crassostrea iredalei",NA,"FBmpack"
"514","Crassostrea rhizophorae",NA,"FBmpack"
"515","Crassostrea spp",NA,"FBmpack"
"516","Crassostrea virginica",NA,"FBmpack"
"517","Crustacea",NA,"FBmpack"
"518","Ctenochaetus striatus","Speciesmpack",NA
"519","Ctenochaetus strigosus","Speciesmpack",NA
"520","Ctenolabrus rupestris","Speciesmpack",NA
"521","Ctenopharyngodon idella","Speciesmpack",NA
"522","Ctenopharynx intermedius","Speciesmpack",NA
"523","Cyclocheilichthys apogon","Speciesmpack",NA
"524","Cyclopsetta chittendeni","Speciesmpack",NA
"525","Cyclopterus lumpus","Speciesmpack","FBmpack"
"526","Cyclothone acclinidens","Speciesmpack",NA
"527","Cyema atrum","Speciesmpack",NA
"528","Cymatoceps nasutus","Speciesmpack",NA
"529","Cymbium spp",NA,"FBmpack"
"530","Cynoglossidae",NA,"FBmpack"
"531","Cynoglossus abbreviatus","Speciesmpack",NA
"532","Cynoglossus arel","Speciesmpack",NA
"533","Cynoglossus canariensis","Speciesmpack",NA
"534","Cynoglossus joyneri","Speciesmpack",NA
"535","Cynoglossus lida","Speciesmpack",NA
"536","Cynoglossus puncticeps","Speciesmpack",NA
"537","Cynoglossus semifasciatus","Speciesmpack",NA
"538","Cynoglossus senegalensis","Speciesmpack",NA
"539","Cynoscion acoupa","Speciesmpack",NA
"540","Cynoscion albus","Speciesmpack",NA
"541","Cynoscion analis","Speciesmpack","FBmpack"
"542","Cynoscion guatucupa","Speciesmpack",NA
"543","Cynoscion jamaicensis","Speciesmpack",NA
"544","Cynoscion leiarchus","Speciesmpack",NA
"545","Cynoscion nebulosus","Speciesmpack","FBmpack"
"546","Cynoscion nothus","Speciesmpack",NA
"547","Cynoscion regalis","Speciesmpack","FBmpack"
"548","Cynoscion spp",NA,"FBmpack"
"549","Cynoscion stolzmanni","Speciesmpack",NA
"550","Cynoscion striatus",NA,"FBmpack"
"551","Cynoscion xanthulus","Speciesmpack",NA
"552","Cyphomyrus discorhynchus","Speciesmpack",NA
"553","Cyprinidae",NA,"FBmpack"
"554","Cyprinus carpio","Speciesmpack",NA
"555","Cypselurus agoo",NA,"FBmpack"
"556","Cypselurus opisthopus","Speciesmpack",NA
"557","Cystophora cristata",NA,"FBmpack"
"558","Dactyloptena orientalis","Speciesmpack",NA
"559","Dalatias licha",NA,"FBmpack"
"560","Danio rerio","Speciesmpack",NA
"561","Dascyllus aruanus","Speciesmpack",NA
